track-name,artist,album-name,album-artist-name,disc-number,track-number,track-duration,explicit,popularity,artist-genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time-signature,label,album-release-year,decade,chords
New Romantics,Taylor Swift,1989 (Deluxe),Taylor Swift,1,16,230466.0,False,0.0,pop,0.633,0.889,5.0,-5.87,1.0,0.0715,0.00463,0.000458,0.0658,0.584,121.956,4.0,Universal Music Group,2014,2010,
The Man,Taylor Swift,Lover,Taylor Swift,1,4,190360.0,False,79.0,pop,0.777,0.658,0.0,-5.191,1.0,0.054,0.0767,0.0,0.0901,0.633,110.048,4.0,Taylor Swift,2019,2010,
White Horse,Taylor Swift,Fearless,Taylor Swift,1,5,234426.0,False,47.0,pop,0.578,0.34,0.0,-8.027,1.0,0.0264,0.305,0.0,0.104,0.223,92.702,4.0,"Big Machine Records, LLC",2008,2000,
Blank Space,Taylor Swift,1989,Taylor Swift,1,2,231826.0,False,69.0,pop,0.753,0.678,5.0,-5.421,1.0,0.0644,0.085,1.64e-06,0.13,0.583,96.006,4.0,"Big Machine Records, LLC",2014,2010,
Karma,Taylor Swift,Midnights,Taylor Swift,1,11,204852.0,True,77.0,pop,0.64,0.619,8.0,-7.108,1.0,0.065,0.062,0.0,0.475,0.121,90.008,4.0,Taylor Swift,2022,2020,
Mine,Taylor Swift,Speak Now,Taylor Swift,1,1,230546.0,False,0.0,pop,0.696,0.768,7.0,-3.863,1.0,0.0308,0.00461,1.21e-06,0.101,0.692,121.05,4.0,Universal Music Group,2010,2010,
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",1,1,245200.0,False,0.0,"pop,uk pop,pop",0.735,0.451,0.0,-8.374,1.0,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,4.0,Universal Music Group,2016,2010,
You Need To Calm Down,Taylor Swift,Lover,Taylor Swift,1,14,171360.0,False,77.0,pop,0.771,0.671,2.0,-5.617,1.0,0.0553,0.00929,0.0,0.0637,0.714,85.026,4.0,Taylor Swift,2019,2010,
We Are Never Ever Getting Back Together,Taylor Swift,Red,Taylor Swift,1,8,193146.0,False,0.0,pop,0.624,0.685,7.0,-5.902,1.0,0.12,0.0105,2.22e-05,0.126,0.781,86.059,4.0,Universal Music Group,2012,2010,
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,ME!,"Taylor Swift, Brendon Urie, Panic! At The Disco",1,1,193040.0,False,0.0,pop,0.614,0.839,0.0,-4.143,1.0,0.0702,0.0291,0.0,0.112,0.657,182.123,4.0,Republic Records,2019,2010,
Lover (Remix) [feat. Shawn Mendes],Taylor Swift,Lover (Remix) [feat. Shawn Mendes],"Taylor Swift, Shawn Mendes",1,1,221306.0,False,65.0,"pop,canadian pop,pop,viral pop",0.448,0.603,7.0,-7.176,1.0,0.064,0.433,0.0,0.0862,0.422,205.272,3.0,Taylor Swift,2019,2010,
The Archer,Taylor Swift,Lover,Taylor Swift,1,5,211240.0,False,74.0,pop,0.292,0.574,0.0,-9.375,1.0,0.0401,0.12,0.00569,0.0663,0.166,124.344,4.0,Taylor Swift,2019,2010,
Dress,Taylor Swift,reputation,Taylor Swift,1,12,230373.0,False,0.0,pop,0.719,0.469,0.0,-8.792,1.0,0.0533,0.0329,0.0,0.169,0.0851,120.085,4.0,"Big Machine Records, LLC",2017,2010,
Both of Us (feat. Taylor Swift),Taylor Swift,Strange Clouds,B.o.B,1,4,216120.0,True,54.0,"atl hip hop,dance pop,pop rap,rap,southern hip hop,pop",0.677,0.722,7.0,-7.088,1.0,0.0522,0.0213,0.0,0.207,0.0483,125.091,4.0,Rebel Rock/Grand Hustle/Atlantic,2012,2010,
